Ids,PageRank,UserName,FullName,Inlinks,Outlinks,Followers,Friends,Location,Created,kmeans,spectral,affinity,dim1,dim2,dim3
254107028,0.05550025111259127,TensorFlow,TensorFlow,11,3,172811,96,"Mountain View, CA",Feb-2011,4,2,0,-1.436704063728797,1.5090781338320292,0.01436335114371968
20536157,0.051477340758740685,Google,Google,12,2,21517665,214,"Mountain View, CA",Feb-2009,0,4,0,-0.32712838316597626,1.81407927768662,0.35199204339074874
33838201,0.04702179222067813,GoogleAI,Google AI,8,2,1380565,14,"Mountain View, CA",Apr-2009,4,1,0,-1.1812623090460417,0.6495608273317613,0.013350436029075301
145125358,0.040777209294701806,SrBachchan,Amitabh Bachchan,23,32,38663364,1836,"Mumbai, India",May-2010,3,3,1,2.975916791275624,0.06270147167187765,0.2111139794830949
13298072,0.03722558193533272,Tesla,Tesla,5,2,4259108,76,,Feb-2008,1,4,0,-0.5353034136892866,0.1608912189666433,0.1016661506829911
135421739,0.036717576605503344,sachin_rt,Sachin Tendulkar,26,10,30551511,79,"ÜT: 18.986431,72.823769",Apr-2010,3,3,1,3.4920370547157398,0.1548156643805746,0.7716232985374503
44196397,0.03507732380015427,elonmusk,Elon Musk,15,1,28473165,81,,Jun-2009,0,4,0,-0.16210132356084156,2.4405862255530004,0.014059592160650062
18839785,0.03264250561158548,narendramodi,Narendra Modi,22,9,50489276,2266,India,Jan-2009,3,3,1,2.608549441029519,0.2036247823470132,1.1861952180486455
71201743,0.02776477039931668,imVkohli,Virat Kohli,21,8,31654577,53,,Sep-2009,5,3,1,2.5107368567918162,0.1315983150079911,1.959772864266802
50393960,0.02679810659922376,BillGates,Bill Gates,20,4,48153147,202,"Seattle, WA",Jun-2009,0,4,0,1.479214107210111,2.283783286246369,0.6095203901735953
216939636,0.026591927424899957,AndrewYNg,Andrew Ng,10,9,436717,419,"Palo Alto, CA",Nov-2010,4,2,0,-1.461942258818805,1.1899981212763562,-0.018978478535859298
101311381,0.0253784274337763,iamsrk,Shah Rukh Khan,21,7,38932820,79,,Jan-2010,2,3,1,2.8977963153533692,0.1860639689517302,-0.34596706291489443
8161232,0.024578593002599625,richardbranson,Richard Branson,6,7,12664546,3893,,Aug-2007,1,1,0,-0.5200228694849373,-0.4607939632959463,0.02940727884220452
92708272,0.02411158920557032,msdhoni,Mahendra Singh Dhoni,13,9,7730049,34,India,Nov-2009,5,0,0,1.112825890500848,-0.5305403500506906,1.5757925352344928
29873662,0.023948798856811136,MKBHD,Marques Brownlee,6,5,3428519,340,NYC,Apr-2009,1,0,0,-0.17221632151525285,-0.24273360948067252,0.18854775041632404
113419517,0.021098479737048443,iHrithik,Hrithik Roshan,19,5,26437644,90,,Feb-2010,2,5,1,2.6329368105612247,0.4662209031887404,-1.3129294793013924
133880286,0.02020909881461099,LeoDiCaprio,Leonardo DiCaprio,12,2,19211161,153,"Los Angeles, CA",Apr-2010,2,5,0,1.2240554212433283,0.21243307851797014,-0.94586865150328
92724677,0.018973770545983273,virendersehwag,Virender Sehwag,16,6,19947018,141,India,Nov-2009,5,3,1,1.8720476896984062,-0.31816453612643625,1.554988805879003
18681139,0.018699908815622522,priyankachopra,PRIYANKA,15,12,25252833,546,,Jan-2009,2,5,1,1.7943824216995468,-0.3565727977082894,-1.7201006954258355
185142711,0.01777736923159037,BCCI,BCCI,11,4,9732161,74,India,Aug-2010,5,3,0,0.7336310185081173,-0.733092166831521,1.8706575644139507
88856792,0.016891289084162455,aamir_khan,Aamir Khan,16,3,25156209,9,Mumbai,Nov-2009,2,5,1,2.413317743371863,-0.1338345649937528,-0.6188512626242904
97865628,0.016414971356165032,FarOutAkhtar,Farhan Akhtar,15,14,12202677,331,"Mumbai, India",Dec-2009,2,5,1,2.1119434765265117,0.06327108468067981,-1.4859294118429516
1636590253,0.015596946211063898,tim_cook,Tim Cook,8,0,11530862,66,Cupertino,Jul-2013,0,4,0,-0.41770299649548376,1.2455562097008006,-0.12117120820639353
775449094739197953,0.015177257284914912,goodfellow_ian,Ian Goodfellow,9,11,158386,1077,"San Francisco, CA",Sep-2016,4,2,0,-1.3363486343386453,1.0284016326152376,-0.01354421334747283
54829997,0.01412760777530618,AnushkaSharma,Anushka Sharma,12,7,20132005,129,,Jul-2009,2,5,0,1.26069895791644,-0.3011339520517916,-0.6515365411435061
101695592,0.01365961964757313,deepikapadukone,Deepika Padukone,14,10,26502744,78,,Jan-2010,2,5,1,1.8543475955420983,-0.18926595314172884,-1.7218500687700025
155659213,0.013575099002844562,Cristiano,Cristiano Ronaldo,8,0,80217624,51,"Turim, Piemonte",Jun-2010,1,0,0,0.2393883959043602,-0.07872078826059084,0.18243876290848013
62513246,0.013451399887269275,jk_rowling,J.K. Rowling,9,0,14662627,665,Scotland,Aug-2009,0,4,0,0.09946497956782456,0.7111786897815551,-0.22361374236788767
80422885,0.013336941484821986,kaggle,Kaggle,9,8,159014,239,San Francisco,Oct-2009,4,2,0,-1.3047186075769257,1.0841203735211444,-0.0022797435955720096
78941611,0.012926437972699488,bhogleharsha,Harsha Bhogle,8,11,8375351,164,"Mumbai, India",Oct-2009,1,0,0,0.5281847178321926,-0.4195635318415795,0.2530656703047122
51376979,0.01280565374062633,sonamakapoor,Sonam K Ahuja,10,19,12679419,956,India,Jun-2009,2,5,0,1.0595822020036032,-0.3842847060897236,-1.1333028218586945
48410093,0.012090675787541196,TomCruise,Tom Cruise,3,9,6740721,53409,Worldwide,Jun-2009,1,1,0,-0.577532345783652,-0.3219704020225809,-0.21264388253465433
627673190,0.011698265561531808,ChampionsLeague,UEFA Champions League,3,2,25016141,520,"Nyon, Vaud",Jul-2012,1,0,0,-0.5689530371283237,-0.6022505872525145,0.0003925830139432326
15639696,0.010954345500906008,IPL,IndianPremierLeague,6,6,6599780,115,"Mumbai, India",Jul-2008,1,0,0,0.04542566951918607,-0.6898249680973115,0.6677433433401454
20167623,0.00956620361884036,kdnuggets,KDnuggets,8,7,157906,413,"Brookline, MA, USA",Feb-2009,4,2,0,-1.3830462659035332,0.8866514681075841,-0.03237070772417949
822215679726100480,0.009448224346985125,POTUS,President Trump,8,0,26804417,39,"Washington, D.C.",Jan-2017,1,4,0,0.23179569837764613,0.540755486626224,0.16220781472499732
183230911,0.009270848173965259,aliaa08,Alia Bhatt,10,11,19674342,234,,Aug-2010,2,5,0,1.2765133537358144,-0.11163183768356112,-0.6877335762310194
2238652956,0.009052140716055214,IndianFootball,Indian Football Team,5,5,516150,233,"AIFF Football House, New Delhi",Dec-2013,1,0,0,-0.1265347725912703,-0.5295148118277315,0.31309211663290143
96951800,0.009042584303245692,FCBarcelona,FC Barcelona,3,1,30930757,79,Barcelona,Dec-2009,1,1,0,-0.7675394207980627,-0.2971526629035181,-0.08926007061807689
863720408,0.008625243863877233,chetrisunil11,Sunil Chhetri,5,4,1595922,127,,Oct-2012,1,0,0,-0.10978932373225697,-0.697659351036975,0.34039030406238785
